Drug	ABX	Strain	Replicate	normAUC	Exp
Clozapine	Doxycycline	NT5002	R1	0.061073178716069994	LM18-15
Vorinostat	Doxycycline	NT5002	R1	0.07327076381671196	LM18-15
Chlorambucil	Doxycycline	NT5002	R1	0.07607621843958186	LM18-15
Chlorthalidone	Doxycycline	NT5002	R1	0.07366700804370747	LM18-15
Dobutamine hydrochloride	Doxycycline	NT5002	R1	0.07306000107923066	LM18-15
Moclobemide	Doxycycline	NT5002	R1	0.0478143807758185	LM18-15
Clopamide	Doxycycline	NT5002	R1	0.06684267481070928	LM18-15
Hycanthone	Doxycycline	NT5002	R1	0.048306713338312865	LM18-15
Ketotifen fumarate	Erythromycin	NT5001	R1	0.03551866182428649	LM18-12
Amoxicillin	Doxycycline	NT5002	R1	0.03109721661231359	LM18-15
Pemirolast potassium	Doxycycline	NT5002	R1	0.06315803384043688	LM18-15
Dextromethorphan hydrobromide monohydrate	Doxycycline	NT5002	R1	0.06750447118386685	LM18-15
Droperidol	Doxycycline	NT5002	R1	0.078290041236165	LM18-15
Methiazole	Doxycycline	NT5002	R1	0.09391311877422813	LM18-15
(S)-(-)-Cycloserine	Doxycycline	NT5002	R1	0.07602784751034766	LM18-15
Bambuterol hydrochloride	Doxycycline	NT5002	R1	0.08241066513606696	LM18-15
Betamethasone	Doxycycline	NT5002	R1	0.08426292758642942	LM18-15
Colchicine	Doxycycline	NT5002	R1	0.06089098527259028	LM18-15
Metergoline	Doxycycline	NT5002	R1	0.05157781122394754	LM18-15
Debrisoquin sulfate	Erythromycin	NT5001	R1	0.030573498563260977	LM18-12
Brinzolamide	Doxycycline	NT5002	R1	0.05949982466488752	LM18-15
Benfluorex hydrochloride	Doxycycline	NT5002	R1	0.10523874979379362	LM18-15
Bepridil hydrochloride	Doxycycline	NT5002	R1	0.057419396034400286	LM18-15
Meloxicam	Doxycycline	NT5002	R1	0.0692939898635566	LM18-15
Benzbromarone	Doxycycline	NT5002	R1	0.04041776233343909	LM18-15
Homosalate	Doxycycline	NT5002	R1	0.13459853951473588	LM18-15
Nialamide	Doxycycline	NT5002	R1	0.06665524084239406	LM18-15
Ketotifen fumarate	Doxycycline	NT5002	R1	0.07547401307330093	LM18-15
Debrisoquin sulfate	Doxycycline	NT5002	R1	0.07709312695663469	LM18-15
Amethopterin (R,S)	Erythromycin	NT5001	R1	0.0343200245483491	LM18-12
Amethopterin (R,S)	Doxycycline	NT5002	R1	0.007999158598059327	LM18-15
Methylergometrine maleate	Doxycycline	NT5002	R1	0.06457196093410277	LM18-15
Methiothepin maleate	Doxycycline	NT5002	R1	0.055700447564927626	LM18-15
Nafronyl oxalate	Doxycycline	NT5002	R1	0.053181442702168395	LM18-15
Bezafibrate	Doxycycline	NT5002	R1	0.06561607573302683	LM18-15
Nefazodone HCl	Doxycycline	NT5002	R1	0.0589746911090262	LM18-15
Clebopride maleate	Doxycycline	NT5002	R1	0.07156860821817432	LM18-15
Toltrazuril	Doxycycline	NT5002	R1	0.10641963248295641	LM18-15
Rifabutin	Doxycycline	NT5002	R1	0.015373028092098312	LM18-15
Methylergometrine maleate	Erythromycin	NT5001	R1	0.04015535303546206	LM18-12
Lidoflazine	Doxycycline	NT5002	R1	0.04522607252431159	LM18-15
Betaxolol hydrochloride	Doxycycline	NT5002	R1	0.0807023671300731	LM18-15
Nicardipine hydrochloride	Doxycycline	NT5002	R1	0.0492454542451176	LM18-15
Probucol	Doxycycline	NT5002	R1	0.06758667115542864	LM18-15
Mitoxantrone dihydrochloride	Doxycycline	NT5002	R1	0.04520305165873266	LM18-15
Carbetapentane citrate	Doxycycline	NT5002	R1	0.0598988788275102	LM18-15
Dequalinium dichloride	Doxycycline	NT5002	R1	0.015134969875248722	LM18-15
Ketoconazole	Doxycycline	NT5002	R1	0.06398540235303361	LM18-15
Fusidic acid sodium salt	Doxycycline	NT5002	R1	0.01330460963975048	LM18-15
Hexamethonium dibromide dihydrate	Erythromycin	NT5001	R1	0.05684771058285649	LM18-12
Methiothepin maleate	Erythromycin	NT5001	R1	0.027966949527425088	LM18-12
Parbendazole	Doxycycline	NT5002	R1	0.09639610766879139	LM18-15
Clocortolone pivalate	Doxycycline	NT5002	R1	0.07122102996696655	LM18-15
Terbutaline hemisulfate	Doxycycline	NT5002	R1	0.07679114950702949	LM18-15
Ketanserin tartrate hydrate	Doxycycline	NT5002	R1	0.0781898952500765	LM18-15
Hemicholinium bromide	Doxycycline	NT5002	R1	0.04424090696840364	LM18-15
Kanamycin A sulfate	Doxycycline	NT5002	R1	0.07215994005732897	LM18-15
Amikacin hydrate	Doxycycline	NT5002	R1	0.07386805805127808	LM18-15
Clomiphene citrate (Z,E)	Doxycycline	NT5002	R1	0.04781495520489118	LM18-15
Oxantel pamoate	Doxycycline	NT5002	R1	0.07297164406055935	LM18-15
Prochlorperazine dimaleate	Doxycycline	NT5002	R1	0.0565989735255512	LM18-15
Hesperidin	Doxycycline	NT5002	R1	0.07076926005810394	LM18-15
Nadifloxacin	Doxycycline	NT5002	R1	0.00898654931537432	LM18-15
Buspirone hydrochloride	Doxycycline	NT5002	R1	0.07086500579043972	LM18-15
Testosterone propionate	Doxycycline	NT5002	R1	0.06746173920233164	LM18-15
Haloprogin	Doxycycline	NT5002	R1	0.0718658754334308	LM18-15
Thyroxine (L)	Doxycycline	NT5002	R1	0.05933493505879161	LM18-15
Idebenone	Doxycycline	NT5002	R1	0.07446880326501801	LM18-15
Pepstatin A	Doxycycline	NT5002	R1	0.06533707565474756	LM18-15
Nafronyl oxalate	Erythromycin	NT5001	R1	0.028484743606351413	LM18-12
Adamantamine fumarate	Doxycycline	NT5002	R1	0.07066874835543105	LM18-15
Butoconazole nitrate	Doxycycline	NT5002	R1	0.06231907488359382	LM18-15
Amiodarone hydrochloride	Doxycycline	NT5002	R1	0.06603406353625514	LM18-15
Amphotericin B	Doxycycline	NT5002	R1	0.07486222935427488	LM18-15
Anastrozole	Doxycycline	NT5002	R1	0.08145356378201593	LM18-15
Acetylcysteine	Doxycycline	NT5002	R1	0.181876799706275	LM18-15
Androsterone	Doxycycline	NT5002	R1	0.06872849913977731	LM18-15
Amifostine	Doxycycline	NT5002	R1	0.07306488410046091	LM18-15
Carbarsone	Doxycycline	NT5002	R1	0.03922956765802459	LM18-15
Amlodipine	Doxycycline	NT5002	R1	0.08275130793526332	LM18-15
Bezafibrate	Erythromycin	NT5001	R1	0.04049584612322164	LM18-12
Modafinil	Doxycycline	NT5002	R1	0.07356708212353529	LM18-15
Lamivudine	Doxycycline	NT5002	R1	0.0698901846584612	LM18-15
Biotin	Doxycycline	NT5002	R1	0.08834204375885521	LM18-15
Bisacodyl	Doxycycline	NT5002	R1	0.0745605280265873	LM18-15
Erlotinib	Doxycycline	NT5002	R1	0.12562203658019955	LM18-15
Melengestrol acetate	Doxycycline	NT5002	R1	0.09213595427013949	LM18-15
Famciclovir	Doxycycline	NT5002	R1	0.04801833141852637	LM18-15
Suloctidil	Doxycycline	NT5002	R1	0.0730651334111609	LM18-15
Zotepine	Doxycycline	NT5002	R1	0.06018159921847236	LM18-15
Nefazodone HCl	Erythromycin	NT5001	R1	0.029857629623412214	LM18-12
Carisoprodol	Doxycycline	NT5002	R1	0.021882852844133233	LM18-15
Cephalosporanic acid, 7-amino	Doxycycline	NT5002	R1	0.08719828785891313	LM18-15
Chicago sky blue 6B	Doxycycline	NT5002	R1	0.07054305854771624	LM18-15
Dibenzepine hydrochloride	Doxycycline	NT5002	R1	0.07138141270394752	LM18-15
Roxatidine Acetate HCl	Doxycycline	NT5002	R1	0.06986896296046519	LM18-15
Valacyclovir hydrochloride	Doxycycline	NT5002	R1	0.07882410047183137	LM18-15
Cisapride	Doxycycline	NT5002	R1	0.06787767104404059	LM18-15
Dopamine hydrochloride	Doxycycline	NT5002	R1	0.07791570811860452	LM18-15
5-fluorouracil	Doxycycline	NT5002	R1	0.18041741304398123	LM18-15
Clebopride maleate	Erythromycin	NT5001	R1	0.03654833820191331	LM18-12
Pefloxacine	Doxycycline	NT5002	R1	0.0843916991467039	LM18-15
Corticosterone	Doxycycline	NT5002	R1	0.07326205385082069	LM18-15
Cyanocobalamin	Doxycycline	NT5002	R1	0.04332247636055599	LM18-15
Cefadroxil	Doxycycline	NT5002	R1	0.06777834291641482	LM18-15
Cyclosporin A	Doxycycline	NT5002	R1	0.07336352305447051	LM18-15
Digoxin	Doxycycline	NT5002	R1	0.06643059626665337	LM18-15
Doxorubicin hydrochloride	Doxycycline	NT5002	R1	0.07726121527949388	LM18-15
Carbimazole	Doxycycline	NT5002	R1	0.0722721069549161	LM18-15
Epiandrosterone	Doxycycline	NT5002	R1	0.0725745433685802	LM18-15
Toltrazuril	Erythromycin	NT5001	R1	0.023850385325887628	LM18-12
Mesna	Doxycycline	NT5002	R1	0.07327102559351042	LM18-15
Clofibrate	Doxycycline	NT5002	R1	0.10734274863988852	LM18-15
Estradiol-17 beta	Doxycycline	NT5002	R1	0.08397679331977743	LM18-15
Clobutinol hydrochloride	Doxycycline	NT5002	R1	0.0678378635490578	LM18-15
Gabazine bromide	Doxycycline	NT5002	R1	0.04012815086864867	LM18-15
Oxcarbazepine	Doxycycline	NT5002	R1	0.057792778011594846	LM18-15
Cyclobenzaprine hydrochloride	Doxycycline	NT5002	R1	0.055325852043180156	LM18-15
Hydrocortisone base	Doxycycline	NT5002	R1	0.06829226098179786	LM18-15
Hydroxytacrine maleate (R,S)	Doxycycline	NT5002	R1	0.0754554203627092	LM18-15
Rifabutin	Erythromycin	NT5001	R1	0.00906314919373565	LM18-12
Pilocarpine nitrate	Doxycycline	NT5002	R1	0.07613831468108984	LM18-15
Dicloxacillin sodium salt hydrate	Doxycycline	NT5002	R1	0.010212749640527747	LM18-15
Cyclophosphamide	Doxycycline	NT5002	R1	0.07485445975563171	LM18-15
Topotecan	Doxycycline	NT5002	R1	0.11332461394516696	LM18-15
Alizapride HCl	Doxycycline	NT5002	R1	0.07366686539314678	LM18-15
Stanozolol	Doxycycline	NT5002	R1	0.07013446502163952	LM18-15
Calcipotriene	Doxycycline	NT5002	R1	0.042906935656854904	LM18-15
Linezolid	Doxycycline	NT5002	R1	0.014372312379686624	LM18-15
Mebhydroline 1,5-naphtalenedisulfonate	Doxycycline	NT5002	R1	0.31762757398190095	LM18-15
Lidoflazine	Erythromycin	NT5001	R1	0.026434341393584755	LM18-12
Meclozine dihydrochloride	Doxycycline	NT5002	R1	0.06022905230938625	LM18-15
Melatonin	Doxycycline	NT5002	R1	0.07080130378100818	LM18-15
Butalbital	Doxycycline	NT5002	R1	0.0796255012989935	LM18-15
Dinoprost trometamol	Doxycycline	NT5002	R1	0.06919432185973834	LM18-15
Atorvastatin	Doxycycline	NT5002	R1	0.07009392447046826	LM18-15
Gatifloxacin	Doxycycline	NT5002	R1	0.009158936341391413	LM18-15
Tropisetron HCl	Doxycycline	NT5002	R1	0.07976512628364905	LM18-15
Cefixime	Doxycycline	NT5002	R1	0.0489448610084009	LM18-15
Metrizamide	Doxycycline	NT5002	R1	0.03858784209869655	LM18-15
Quetiapine hemifumarate	Doxycycline	NT5002	R1	0.062395713808136195	LM18-15
Betaxolol hydrochloride	Erythromycin	NT5001	R1	0.03500653929492602	LM18-12
Tosufloxacin hydrochloride	Doxycycline	NT5002	R1	0.00954807522435591	LM18-15
Rifapentine	Doxycycline	NT5002	R1	0.008896539347551885	LM18-15
Neostigmine bromide	Doxycycline	NT5002	R1	0.07267560423049287	LM18-15
Niridazole	Doxycycline	NT5002	R1	0.003861848529482643	LM18-15
Ceforanide	Doxycycline	NT5002	R1	0.051108581712988745	LM18-15
Bosentan	Doxycycline	NT5002	R1	0.07386697903042601	LM18-15
Imatinib	Doxycycline	NT5002	R1	0.05322645240287121	LM18-15
Vatalanib	Doxycycline	NT5002	R1	0.05577847446851144	LM18-15
Itopride	Doxycycline	NT5002	R1	0.05326594819733141	LM18-15
Diflunisal	Erythromycin	NT5001	R1	0.08420417861232057	LM18-12
Nicardipine hydrochloride	Erythromycin	NT5001	R1	0.01818697282076736	LM18-12
Cefotetan	Doxycycline	NT5002	R1	0.009233870769553043	LM18-15
Fentiazac	Doxycycline	NT5002	R1	0.05810465550907811	LM18-15
Brompheniramine maleate	Doxycycline	NT5002	R1	0.054217466888591075	LM18-15
Progesterone	Doxycycline	NT5002	R1	0.06741363975097078	LM18-15
Felodipine	Doxycycline	NT5002	R1	0.03104996195798207	LM18-15
Raclopride	Doxycycline	NT5002	R1	0.07366841702336979	LM18-15
Closantel	Doxycycline	NT5002	R1	0.004048749162662079	LM18-15
Moxifloxacin	Doxycycline	NT5002	R1	0.010369189662407031	LM18-15
Doxycycline hydrochloride	Doxycycline	NT5002	R1	0.011021092373036997	LM18-15
Probucol	Erythromycin	NT5001	R1	0.03895123538559011	LM18-12
Serotonin hydrochloride	Doxycycline	NT5002	R1	0.07376703155779502	LM18-15
Cefotiam hydrochloride	Doxycycline	NT5002	R1	0.08679061848335844	LM18-15
Rofecoxib	Doxycycline	NT5002	R1	0.06175425776954342	LM18-15
Benperidol	Doxycycline	NT5002	R1	0.06888247208792286	LM18-15
Cefaclor hydrate	Doxycycline	NT5002	R1	0.0654050574530587	LM18-15
Daunorubicin hydrochloride	Doxycycline	NT5002	R1	0.030762237831313904	LM18-15
Dosulepin hydrochloride	Doxycycline	NT5002	R1	0.0591751008526592	LM18-15
Ceftazidime pentahydrate	Doxycycline	NT5002	R1	0.06073794949678163	LM18-15
Iobenguane sulfate	Doxycycline	NT5002	R1	0.06704307479829402	LM18-15
Mitoxantrone dihydrochloride	Erythromycin	NT5001	R1	0.03606904915588165	LM18-12
Sulbactam	Doxycycline	NT5002	R1	0.08075492832732345	LM18-15
Bromhexine hydrochloride	Doxycycline	NT5002	R1	0.06335672853993421	LM18-15
Metixene hydrochloride	Doxycycline	NT5002	R1	0.07753488488448591	LM18-15
Nitrofural	Doxycycline	NT5002	R1	0.015885797933878436	LM18-15
Omeprazole	Doxycycline	NT5002	R1	0.06680792181082763	LM18-15
Propylthiouracil	Doxycycline	NT5002	R1	0.0714744525791404	LM18-15
Terconazole	Doxycycline	NT5002	R1	0.05865588581916823	LM18-15
Vancomycin hydrochloride	Doxycycline	NT5002	R1	0.03542047068330133	LM18-15
Artemisinin	Doxycycline	NT5002	R1	0.06532514242070686	LM18-15
Propafenone hydrochloride	Doxycycline	NT5002	R1	0.06324353709203505	LM18-15
Ethamivan	Doxycycline	NT5002	R1	0.07496811072320637	LM18-15
Anethole-trithione	Doxycycline	NT5002	R1	0.06204499509503006	LM18-15
Cefdinir	Doxycycline	NT5002	R1	0.019158666121920145	LM18-15
Vigabatrin	Doxycycline	NT5002	R1	0.0690817416624203	LM18-15
Biperiden hydrochloride	Doxycycline	NT5002	R1	0.06927510049684758	LM18-15
Cetirizine dihydrochloride	Doxycycline	NT5002	R1	0.02903335881603867	LM18-15
Etifenin	Doxycycline	NT5002	R1	0.06606018564912676	LM18-15
Metaproterenol sulfate, orciprenaline sulfate	Doxycycline	NT5002	R1	0.06494730270655288	LM18-15
Carbetapentane citrate	Erythromycin	NT5001	R1	0.03311867135558717	LM18-12
Sibutramine HCl	Doxycycline	NT5002	R1	0.05287804938395708	LM18-15
Acenocoumarol	Doxycycline	NT5002	R1	0.07267220933084645	LM18-15
Bromperidol	Doxycycline	NT5002	R1	0.057475698041849196	LM18-15
Cyclizine hydrochloride	Doxycycline	NT5002	R1	0.07014935050480293	LM18-15
Carprofen	Doxycycline	NT5002	R1	0.10430171911273117	LM18-15
Mitotane	Doxycycline	NT5002	R1	0.08597849483140783	LM18-15
Fluoxetine hydrochloride	Doxycycline	NT5002	R1	0.05881617695255659	LM18-15
Iohexol	Doxycycline	NT5002	R1	0.07456038885382814	LM18-15
Norcyclobenzaprine	Doxycycline	NT5002	R1	0.05103184347572651	LM18-15
Pyrazinamide	Doxycycline	NT5002	R1	0.06137277854487998	LM18-15
Dequalinium dichloride	Erythromycin	NT5001	R1	0.008058209655020066	LM18-12
Trimethadione	Doxycycline	NT5002	R1	0.0603368603616376	LM18-15
Nystatine	Doxycycline	NT5002	R1	0.06016270318684194	LM18-15
Budesonide	Doxycycline	NT5002	R1	0.09568752279630864	LM18-15
Imipenem	Doxycycline	NT5002	R1	0.08257532248898257	LM18-15
Sulfasalazine	Doxycycline	NT5002	R1	0.07396735841674607	LM18-15
Ambrisentan	Doxycycline	NT5002	R1	0.09011558065693581	LM18-15
Aripiprazole	Doxycycline	NT5002	R1	0.04400334557265985	LM18-15
Lofexidine	Doxycycline	NT5002	R1	0.07177346608705541	LM18-15
Thiostrepton	Doxycycline	NT5002	R1	0.01376261384366227	LM18-15
Ketoconazole	Erythromycin	NT5001	R1	0.030369799526306925	LM18-12
Miglitol	Doxycycline	NT5002	R1	0.01965185839321774	LM18-15
Tiabendazole	Doxycycline	NT5002	R1	0.06938728051493251	LM18-15
Rifampicin	Doxycycline	NT5002	R1	0.00978294791657377	LM18-15
Tenoxicam	Doxycycline	NT5002	R1	0.07035967946036496	LM18-15
Triflusal	Doxycycline	NT5002	R1	0.0663100247902687	LM18-15
Mesoridazine besylate	Doxycycline	NT5002	R1	0.06537140858915878	LM18-15
Trolox	Doxycycline	NT5002	R1	0.07476968724425505	LM18-15
Ethinylestradiol	Doxycycline	NT5002	R1	0.06805452562450993	LM18-15
Azithromycin	Doxycycline	NT5002	R1	0.01197922125726712	LM18-15
Fusidic acid sodium salt	Erythromycin	NT5001	R1	0.017500457731028273	LM18-12
Pirenperone	Doxycycline	NT5002	R1	0.07267524580512483	LM18-15
Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro, hydrochloride	Doxycycline	NT5002	R1	0.06920659242460711	LM18-15
Phenacetin	Doxycycline	NT5002	R1	0.05179634673846176	LM18-15
Atovaquone	Doxycycline	NT5002	R1	0.0442816603895902	LM18-15
Methoxamine hydrochloride	Doxycycline	NT5002	R1	0.06810085485872618	LM18-15
Piracetam	Doxycycline	NT5002	R1	0.06444650569127115	LM18-15
Phenindione	Doxycycline	NT5002	R1	0.06767031562878924	LM18-15
Thiocolchicoside	Doxycycline	NT5002	R1	0.07165973557011397	LM18-15
Clorsulon	Doxycycline	NT5002	R1	0.06419764373742533	LM18-15
Parbendazole	Erythromycin	NT5001	R1	0.03654833869949837	LM18-12
Ibudilast	Doxycycline	NT5002	R1	0.06747028684463337	LM18-15
Gemcitabine	Doxycycline	NT5002	R1	0.061918145570729194	LM18-15
Ciclopirox ethanolamine	Doxycycline	NT5002	R1	0.0665412908586797	LM18-15
Probenecid	Doxycycline	NT5002	R1	0.07585802078357042	LM18-15
Betahistine mesylate	Doxycycline	NT5002	R1	0.04818706465208162	LM18-15
Tobramycin	Doxycycline	NT5002	R1	0.07005402008694922	LM18-15
Tetramisole hydrochloride	Doxycycline	NT5002	R1	0.0699949089414363	LM18-15
Molsidomine	Doxycycline	NT5002	R1	0.06602900351782053	LM18-15
Chloroquine diphosphate	Doxycycline	NT5002	R1	0.07084901117582057	LM18-15
Clocortolone pivalate	Erythromycin	NT5001	R1	0.03288067823430032	LM18-12
Trimetazidine dihydrochloride	Doxycycline	NT5002	R1	0.07585539803464393	LM18-15
Parthenolide	Doxycycline	NT5002	R1	0.07727052083145582	LM18-15
Olmesartan	Doxycycline	NT5002	R1	0.07646275537558715	LM18-15
Formoterol fumarate	Doxycycline	NT5002	R1	0.04034542709384016	LM18-15
Hexetidine	Doxycycline	NT5002	R1	0.0446228232552701	LM18-15
Selegiline hydrochloride	Doxycycline	NT5002	R1	0.061638998070174	LM18-15
Pentamidine isethionate	Doxycycline	NT5002	R1	0.025151229914862995	LM18-15
Tolazamide	Doxycycline	NT5002	R1	0.05615169270198522	LM18-15
Nifuroxazide	Doxycycline	NT5002	R1	0.0507845994628068	LM18-15
Niclosamide	Erythromycin	NT5001	R1	0.018701424197209986	LM18-12
Terbutaline hemisulfate	Erythromycin	NT5001	R1	0.03179344285989632	LM18-12
Dirithromycin	Doxycycline	NT5002	R1	0.015972030304868916	LM18-15
Gliclazide	Doxycycline	NT5002	R1	0.06411983486268463	LM18-15
DO 897/99	Doxycycline	NT5002	R1	0.06019237456744784	LM18-15
Prenylamine lactate	Doxycycline	NT5002	R1	0.056528872881730495	LM18-15
Rufloxacin	Doxycycline	NT5002	R1	0.058174675822516016	LM18-15
Fleroxacin	Doxycycline	NT5002	R1	0.14096208799300458	LM18-15
Ziprasidone  Hydrochloride	Doxycycline	NT5002	R1	0.07078424455559265	LM18-15
Mevastatin	Doxycycline	NT5002	R1	0.06526283393337426	LM18-15
Pyridostigmine iodide	Doxycycline	NT5002	R1	0.05219659241131297	LM18-15
Pentobarbital	Doxycycline	NT5002	R1	0.062011791655848164	LM18-15
Ketanserin tartrate hydrate	Erythromycin	NT5001	R1	0.030077187285295553	LM18-12
Atropine sulfate monohydrate	Doxycycline	NT5002	R1	0.06759026410396538	LM18-15
Itraconazole	Doxycycline	NT5002	R1	0.06022951297283316	LM18-15
Acarbose	Doxycycline	NT5002	R1	0.07397182496487428	LM18-15
Entacapone	Doxycycline	NT5002	R1	0.059951626480570855	LM18-15
Nicotinamide	Doxycycline	NT5002	R1	0.06952673362520927	LM18-15
Clavulanate potassium salt	Doxycycline	NT5002	R1	0.058996615881362034	LM18-15
Amcinonide	Doxycycline	NT5002	R1	0.10421124085190912	LM18-15
Tetracaïne hydrochloride	Doxycycline	NT5002	R1	0.07087214743942133	LM18-15
Mometasone furoate	Doxycycline	NT5002	R1	0.070844481619802	LM18-15
Hemicholinium bromide	Erythromycin	NT5001	R1	0.03500377518097821	LM18-12
Troglitazone	Doxycycline	NT5002	R1	0.030721324760160172	LM18-15
Dacarbazine	Doxycycline	NT5002	R1	0.06273047039211624	LM18-15
Tenatoprazole	Doxycycline	NT5002	R1	0.07557029684173087	LM18-15
Escitalopram	Doxycycline	NT5002	R1	0.05775568041926046	LM18-15
Ropinirole HCl	Doxycycline	NT5002	R1	0.06917283858542303	LM18-15
Lacidipine	Doxycycline	NT5002	R1	0.07366974618297577	LM18-15
Argatroban	Doxycycline	NT5002	R1	0.07377103409283134	LM18-15
Caffeine	Doxycycline	NT5002	R1	0.07237357573835701	LM18-15
Celecoxib	Doxycycline	NT5002	R1	0.17397982169298393	LM18-15
Kanamycin A sulfate	Erythromycin	NT5001	R1	0.039798705229025885	LM18-12
Reboxetine mesylate	Doxycycline	NT5002	R1	0.06508615415928674	LM18-15
Camylofine chlorhydrate	Doxycycline	NT5002	R1	0.06748199063992036	LM18-15
Papaverine hydrochloride	Doxycycline	NT5002	R1	0.07079242106829257	LM18-15
Yohimbine hydrochloride	Doxycycline	NT5002	R1	0.06267538803865334	LM18-15
Voriconazole	Doxycycline	NT5002	R1	0.0572204488262203	LM18-15
Cilostazol	Doxycycline	NT5002	R1	0.07527044848253815	LM18-15
Galanthamine hydrobromide	Doxycycline	NT5002	R1	0.06587417855820879	LM18-15
Azelastine HCl	Doxycycline	NT5002	R1	0.05867467246870795	LM18-15
Etretinate	Doxycycline	NT5002	R1	0.06833634498758284	LM18-15
Amikacin hydrate	Erythromycin	NT5001	R1	0.032770654951427725	LM18-12
Candesartan	Doxycycline	NT5002	R1	0.07477195548762643	LM18-15
Triclosan	Doxycycline	NT5002	R1	0.1856229263351798	LM18-15
Emedastine	Doxycycline	NT5002	R1	0.07085632861381878	LM18-15
Etofenamate	Doxycycline	NT5002	R1	0.10256451627658417	LM18-15
Zaleplon	Doxycycline	NT5002	R1	0.04434217075012602	LM18-15
Diclofenac sodium	Doxycycline	NT5002	R1	0.08339753166006379	LM18-15
Exemestane	Doxycycline	NT5002	R1	0.06339067850089776	LM18-15
Temozolomide	Doxycycline	NT5002	R1	0.06444951496497811	LM18-15
Xylazine	Doxycycline	NT5002	R1	0.06446213089414844	LM18-15
Celiprolol HCl	Doxycycline	NT5002	R1	0.07855634095054301	LM18-15
Zopiclone	Doxycycline	NT5002	R1	0.06696456437630394	LM18-15
Enoxacin	Doxycycline	NT5002	R1	0.06493867373118363	LM18-15
Fluocinolone acetonide	Doxycycline	NT5002	R1	0.1343289721633812	LM18-15
Tranilast	Doxycycline	NT5002	R1	0.07825079095021246	LM18-15
Tizanidine HCl	Doxycycline	NT5002	R1	0.06909820073116885	LM18-15
Zafirlukast	Doxycycline	NT5002	R1	0.03443315842932046	LM18-15
Butenafine Hydrochloride	Doxycycline	NT5002	R1	0.058277291256132534	LM18-15
Carbadox	Doxycycline	NT5002	R1	0.00791062420082075	LM18-15
Clomiphene citrate (Z,E)	Erythromycin	NT5001	R1	0.025092066043970174	LM18-12
Eburnamonine (-)	Doxycycline	NT5002	R1	0.06414885019720787	LM18-15
Oxibendazol	Doxycycline	NT5002	R1	0.06536038488482199	LM18-15
Ipsapirone	Doxycycline	NT5002	R1	0.0733690725504098	LM18-15
Hydroxychloroquine sulfate	Doxycycline	NT5002	R1	0.055328204145488086	LM18-15
Sparfloxacin	Doxycycline	NT5002	R1	0.012942132141562592	LM18-15
Losartan	Doxycycline	NT5002	R1	0.24639785356490937	LM18-15
Loracarbef	Doxycycline	NT5002	R1	0.05600204252124228	LM18-15
Fenipentol	Doxycycline	NT5002	R1	0.06717362011403959	LM18-15
Diosmin	Doxycycline	NT5002	R1	0.0315592537044987	LM18-15
Carbidopa	Doxycycline	NT5002	R1	0.06424899710149927	LM18-15
Oxantel pamoate	Erythromycin	NT5001	R1	0.03792141556618647	LM18-12
(-)-Emtricitabine	Doxycycline	NT5002	R1	0.05849062096550656	LM18-15
Quipazine dimaleate salt	Doxycycline	NT5002	R1	0.06045836122614333	LM18-15
Acipimox	Doxycycline	NT5002	R1	0.06106941524238667	LM18-15
Diflorasone Diacetate	Doxycycline	NT5002	R1	0.06333276208393795	LM18-15
Acamprosate calcium	Doxycycline	NT5002	R1	0.06189522113218306	LM18-15
Benztropine mesylate	Doxycycline	NT5002	R1	0.06330434130132656	LM18-15
Racepinephrine HCl	Doxycycline	NT5002	R1	0.08418222668721771	LM18-15
Mizolastine	Doxycycline	NT5002	R1	0.07148443081790838	LM18-15
Amisulpride	Doxycycline	NT5002	R1	0.07696119640830648	LM18-15
Prochlorperazine dimaleate	Erythromycin	NT5001	R1	0.029683284436567838	LM18-12
Pyridoxine hydrochloride	Doxycycline	NT5002	R1	0.04525297493778068	LM18-15
Mercaptopurine	Doxycycline	NT5002	R1	0.06746501484163493	LM18-15
Cytarabine	Doxycycline	NT5002	R1	0.07367102322343025	LM18-15
Folic acid	Doxycycline	NT5002	R1	0.06801093812519028	LM18-15
Benazepril HCl	Doxycycline	NT5002	R1	0.07326857087791519	LM18-15
Aniracetam	Doxycycline	NT5002	R1	0.0813680888921291	LM18-15
Dimethisoquin hydrochloride	Doxycycline	NT5002	R1	0.05327375423423184	LM18-15
Montelukast	Doxycycline	NT5002	R1	0.06853768815256424	LM18-15
Pravastatin	Doxycycline	NT5002	R1	0.08838609847543455	LM18-15
Hesperidin	Erythromycin	NT5001	R1	0.030544193099013857	LM18-12
Alendronate sodium	Doxycycline	NT5002	R1	0.07136560347818571	LM18-15
Dipivefrin hydrochloride	Doxycycline	NT5002	R1	0.07417429681418362	LM18-15
Thiorphan	Doxycycline	NT5002	R1	0.06423955058558076	LM18-15
Tomoxetine hydrochloride	Doxycycline	NT5002	R1	0.07416938808864057	LM18-15
Aceclidine Hydrochloride	Doxycycline	NT5002	R1	0.07875566055522012	LM18-15
Levetiracetam	Doxycycline	NT5002	R1	0.07225731976761687	LM18-15
Dexfenfluramine hydrochloride	Doxycycline	NT5002	R1	0.0818569883002843	LM18-15
Etoricoxib	Doxycycline	NT5002	R1	0.08510516677963244	LM18-15
Sertindole	Doxycycline	NT5002	R1	0.03929123319081547	LM18-15
